"Object Count","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"1","edge9-11","curve","line"
"2","edge2-4","curve","line"
"3","edge3-4","curve","line"
"4","edge0-8","curve","line"
"5","edge0-1","curve","line"
"6","edge4-11","curve","line"
"7","edge8-10","curve","line"
"8","edge2-8","curve","line"
"9","edge3-6","curve","line"
"10","edge5-8","curve","line"
"11","edge4-7","curve","line"
"12","edge7-9","curve","line"
"13","edge3-11","curve","line"
"14","edge3-5","curve","line"
"15","edge5-6","curve","line"
"16","edge0-10","curve","line"
"17","edge6-10","curve","line"
"18","edge9-10","curve","line"
"19","edge5-10","curve","line"
"20","edge2-5","curve","line"
"21","edge1-8","curve","line"
"22","edge0-9","curve","line"
"23","edge0-7","curve","line"
"24","edge1-7","curve","line"
"25","edge1-2","curve","line"
"26","edge2-3","curve","line"
"27","edge1-4","curve","line"
"28","edge7-11","curve","line"
"29","edge6-9","curve","line"
"30","edge6-11","curve","line"
"31","","point","-2.178086893424911e-07,-1.209088735793849e-13,1394.956428769216"
"32","rx14","point","75.87972689259614,-19.02082468377521,1366.221737480704"
"33","rx13","point","78.79660558060371,3.091667599448929,1421.913114931122"
"34","rx2","point","-6.69789330914332,-54.75319393525724,1332.491611006449"
"35","rx6","point","21.40331224676788,-75.89706928507283,1421.91525272275"
"36","rx4","point","-54.38547526060325,-56.23597223637231,1366.222799767195"
"37","rx18","point","-76.40784394822289,19.38532506009156,1421.90753075526"
"38","rx19","point","-78.14735512509401,-2.852525968078492,1366.216487592716"
"39","rx12","point","50.69065621747351,21.41121226493337,1332.528192640403"
"40","rx15","point","-42.08819098271984,66.66075551901699,1421.907317973822"
"41","rx10","point","55.01470844517937,56.45107379530463,1421.906492219816"
"42","rx11","point","36.63022349274833,69.07124378556068,1366.212846007086"
"43","rx16","point","-21.48213735454723,75.18457554582979,1366.214095185007"
"44","rx0","point","-44.03919820669685,33.14136964528493,1332.48510109391"
"45","rx7","point","0.1180127647728089,1.158801257894982,1311.634463655212"
"46","rx3","point","41.52924599140391,-66.2909396783474,1366.222261503898"
"47","rx1","point","-36.69823794662582,-69.81309299688873,1421.916816022395"
"48","rx17","point","-51.48901475583183,-22.95393947002207,1456.192444773358"
"49","rx9","point","5.88576610556053,56.0435779203841,1456.187648416788"
"50","rx5","point","45.6122326899303,-33.1431983670808,1456.194275331383"
"51","rx8","point","-0.1149530743378922,-1.094248896155486,1478.285569139058"
"52","","solid",""
"53","tx7","point","-52.30208383639427,-23.30754805511462,1319.993704534234"
"54","tx9","point","-74.96526447823872,54.43604722892772,1377.254521644515"
"55","tx6","point","9.678066677848456,92.12201479044202,1412.646301661816"
"56","tx11","point","5.996590839062288,56.9117638032824,1319.988834419614"
"57","tx3","point","84.65168479463017,37.67222012714075,1377.257531755991"
"58","tx4","point","46.31921556569949,-33.68602522884993,1319.995565802632"
"59","tx2","point","74.96428962514327,-54.47072342024755,1412.657193933652"
"60","tx1","point","-9.674690121158658,-92.17819895739781,1377.265415453836"
"61","tx5","point","52.30701382392724,23.26455640999255,1469.918036826118"
"62","tx0","point","-84.6318574895021,-37.71388187485623,1412.654184546389"
"63","tx10","point","-46.31159003399849,33.63911253363809,1469.916175860074"
"64","tx8","point","-5.986917350448286,-56.95438156372548,1469.922906969898"
